School Name,Address,Minutes from Grand Central Terminal,Minutes from Fulton Center,Minutes from MetroTech Center
HIGH SCHOOL OF ARTS AND TECHNOLOGY,"122 Amsterdam Avenue, New York, NY 10023",27,31,37
HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,"800 EAST GUN HILL ROAD, Bronx NY 10467",62,69,79
HIGH SCHOOL OF ECONOMICS AND FINANCE,"100 Trinity Place, Manhattan NY 10006",19,4,14
HIGH SCHOOL OF HOSPITALITY MANAGEMENT,"525 WEST 50TH STREET, Manhattan NY 10019",18,25,32
High School of Language and Innovation,"925 Astor Avenue, Bronx, NY 10469",59,69,79
HIGH SCHOOL OF SPORTS MANAGEMENT,"2630 Benson Avenue, Brooklyn, NY 11214",63,51,49
High School of Telecommunication Arts and Technology,"350 67th Street, Brooklyn, NY 11220",53,36,32
HIGH SCHOOL OF WORLD CULTURES,"1300 Boynton Avenue, Bronx, NY 10472",36,57,67
HILLCREST HIGH SCHOOL,"160-05 HIGHLAND AVENUE, Queens NY 11432",41,61,57
HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,"965 Longwood, Bronx NY",29,49,60
HOSTOS-LINCOLN ACADEMY OF SCIENCE,"600 ST ANN'S AVE, BRONX NY 11203",26,39,51
HYDE LEADERSHIP CHARTER SCHOOL,"830 Hunts Point Ave, BRONX NY 10474",35,49,66
INDEPENDENCE HIGH SCHOOL,"850 10TH AVE, NEW YORK NY 11214",34,25,17
INFORMATION TECHNOLOGY HIGH SCHOOL,"21-16 44th Road, Long Island City, NY 11101",13,27,36
INNOVATION DIPLOMA PLUS,"145 West 84 Street, Manhattan NY 10024",28,32,39
INSTITUTE FOR HEALTH PROFESSIONS AT CAMBRIA HEIGHTS,"207- 01 116TH AVENUE, Queens NY 11411",78,85,95
In-Tech Academy (M.S. / High School 368),"2975 Tibbett Ave, Bronx NY, 10463",32,64,59
INTERNATIONAL COMMUNITY HIGH SCHOOL,"345 Brook Avenue, Bronx, NY 10454",24,44,55
INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,"2630 BENSON AVE, BROOKLYN NY 11101",58,54,46
International High School at LaGuardia Community College,"45-35 Van Dam Street, Long Island City, NY 11101",17,38,47
INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,"883 CLASSON AVE, BROOKLYN NY 10463",29,22,18
INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,"40 IRVING PLACE, NEW YORK NY 11432",12,10,23
INTERNATIONAL HIGH SCHOOL FOR HEALTH SCIENCES,"48-01 90 St, Queens NY 11373",35,51,60
INTERNATIONAL LEADERSHIP CHARTER SCHOOL,"2900 EXTERIOR STSTE 1R, BRONX NY 10463",46,53,67
INTERNATIONAL SCHOOL FOR LIBERAL ARTS,"2780 Reservoir Avenue, Bronx, NY 10468",39,54,69
IT TAKES A VILLAGE ACADEMY,"5800 TILDEN AVENUE, Brooklyn NY 11203",60,45,45
JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,"120 WEST 46 STREET, Manhattan NY 10026",8,22,25
JAMAICA GATEWAY TO THE SCIENCES,"16701 GOTHIC DR, JAMAICA NY 10463",42,51,61
JILL CHAIFETZ TRANSFER HIGH SCHOOL,"778 FOREST AVENUE, BRONX NY 10456",26,36,52
JOHN ADAMS HIGH SCHOOL,"101-01 ROCKAWAY BOULEVARD, Queens, NY 11417",56,44,40
JOHN DEWEY HIGH SCHOOL,"50 Avenue X, Brooklyn NY 11223",61,49,43
